n ,d2 ,c4 ,d3 ,d4 ,A2 ,D3 ,D4 ,A3 ,B3 ,B4 
2 ,1.1284 ,0.7979 ,0.8525 ,0.9539 ,1.8800 ,0.0000 ,3.2665 ,2.6587 ,0.0000 ,3.2665 
3 ,1.6926 ,0.8862 ,0.8884 ,1.5878 ,1.0233 ,0.0000 ,2.5746 ,1.9544 ,0.0000 ,2.5682 
4 ,2.0588 ,0.9213 ,0.8798 ,1.9783 ,0.7286 ,0.0000 ,2.2821 ,1.6281 ,0.0000 ,2.2660 
5 ,2.3259 ,0.9400 ,0.8641 ,2.2569 ,0.5768 ,0.0000 ,2.1145 ,1.4273 ,0.0000 ,2.0890 
6 ,2.5344 ,0.9515 ,0.8480 ,2.4717 ,0.4832 ,0.0000 ,2.0038 ,1.2871 ,0.0304 ,1.9696 
7 ,2.7044 ,0.9594 ,0.8332 ,2.6455 ,0.4193 ,0.0757 ,1.9243 ,1.1819 ,0.1177 ,1.8823 
8 ,2.8472 ,0.9650 ,0.8198 ,2.7908 ,0.3725 ,0.1362 ,1.8638 ,1.0991 ,0.1851 ,1.8149 
9 ,2.9700 ,0.9693 ,0.8078 ,2.9154 ,0.3367 ,0.1840 ,1.8160 ,1.0317 ,0.2391 ,1.7609 
10 ,3.0775 ,0.9727 ,0.7971 ,3.0242 ,0.3083 ,0.2230 ,1.7770 ,0.9754 ,0.2837 ,1.7163 
11 ,3.1729 ,0.9754 ,0.7873 ,3.1205 ,0.2851 ,0.2556 ,1.7444 ,0.9274 ,0.3213 ,1.6787 
12 ,3.2585 ,0.9776 ,0.7785 ,3.2069 ,0.2658 ,0.2833 ,1.7167 ,0.8859 ,0.3535 ,1.6465 
13 ,3.3360 ,0.9794 ,0.7704 ,3.2849 ,0.2494 ,0.3072 ,1.6928 ,0.8495 ,0.3816 ,1.6184 
14 ,3.4068 ,0.9810 ,0.7630 ,3.3562 ,0.2354 ,0.3281 ,1.6719 ,0.8173 ,0.4062 ,1.5938 
15 ,3.4718 ,0.9823 ,0.7562 ,3.4217 ,0.2231 ,0.3466 ,1.6534 ,0.7885 ,0.4282 ,1.5718 
16 ,3.5320 ,0.9835 ,0.7499 ,3.4821 ,0.2123 ,0.3630 ,1.6370 ,0.7626 ,0.4479 ,1.5521 
17 ,3.5879 ,0.9845 ,0.7441 ,3.5383 ,0.2028 ,0.3779 ,1.6221 ,0.7391 ,0.4657 ,1.5343 
18 ,3.6401 ,0.9854 ,0.7386 ,3.5907 ,0.1943 ,0.3913 ,1.6087 ,0.7176 ,0.4818 ,1.5182 
19 ,3.6890 ,0.9862 ,0.7335 ,3.6398 ,0.1866 ,0.4035 ,1.5965 ,0.6979 ,0.4966 ,1.5034 
20 ,3.7349 ,0.9869 ,0.7287 ,3.6859 ,0.1796 ,0.4147 ,1.5853 ,0.6797 ,0.5102 ,1.4898 
21 ,3.7783 ,0.9876 ,0.7242 ,3.7294 ,0.1733 ,0.4250 ,1.5750 ,0.6629 ,0.5228 ,1.4772 
22 ,3.8194 ,0.9882 ,0.7199 ,3.7706 ,0.1675 ,0.4345 ,1.5655 ,0.6473 ,0.5344 ,1.4656 
23 ,3.8583 ,0.9887 ,0.7159 ,3.8096 ,0.1621 ,0.4434 ,1.5566 ,0.6327 ,0.5452 ,1.4548 
24 ,3.8953 ,0.9892 ,0.7121 ,3.8468 ,0.1572 ,0.4516 ,1.5484 ,0.6191 ,0.5553 ,1.4447 
25 ,3.9306 ,0.9896 ,0.7084 ,3.8822 ,0.1526 ,0.4593 ,1.5407 ,0.6063 ,0.5648 ,1.4352 
26 ,3.9643 ,0.9901 ,0.7050 ,3.9159 ,0.1484 ,0.4665 ,1.5335 ,0.5943 ,0.5737 ,1.4263 
27 ,3.9965 ,0.9904 ,0.7017 ,3.9482 ,0.1445 ,0.4733 ,1.5267 ,0.5829 ,0.5820 ,1.4180 
28 ,4.0274 ,0.9908 ,0.6986 ,3.9791 ,0.1408 ,0.4797 ,1.5203 ,0.5722 ,0.5899 ,1.4101 
29 ,4.0570 ,0.9911 ,0.6955 ,4.0088 ,0.1373 ,0.4857 ,1.5143 ,0.5621 ,0.5974 ,1.4026 
30 ,4.0855 ,0.9914 ,0.6927 ,4.0374,0.1341 ,0.4914 ,1.5086,0.5525 ,0.6044 ,1.3956